artes,Vita Prima,Santo António em Portugal,23 junho,31 dezembro 2023,Museu de Lisboa - Palácio Pimenta,https://www.agendalx.pt/events/event/santo-antonio-em-portugal/
artes,Mundo Flutuante,Estampas Japonesas 'Ukiyo-e',23 junho,30 outubro 2023,Fundação Calouste Gulbenkian,https://www.agendalx.pt/events/event/mundo-flutuante-estampas-japonesas-ukiyo-e/
artes,Japão: Festas e Rituais,,19 maio 2023,31 maio 2024,Museu do Oriente,https://www.agendalx.pt/events/event/japao-festas-e-rituais-2/
artes,Ser Português,,18 maio,12 novembro 2023,Museu Nacional de Arte Contemporânea do Chiado,https://www.agendalx.pt/events/event/ser-portugues/
artes,Júlio Pomar,10 anos de Museu,6 julho 2023,14 janeiro 2024,Atelier-Museu Júlio Pomar,https://www.agendalx.pt/events/event/julio-pomar-6/
artes,Labirintos e Abalos Sísmicos,,28 junho,31 outubro 2023,Galeria Francisco Fino,https://www.agendalx.pt/events/event/labirintos-e-abalos-sismicos/
artes,Paulo Alexandrino,São Jorge. Culto em Portugal,30 junho,31 dezembro 2023,Castelo de São Jorge,https://www.agendalx.pt/events/event/sao-jorge-culto-em-portugal/
artes,António Júlio Duarte,Guiné-Bissau 1990,16 setembro,11 novembro 2023,Galeria Bruno Múrias,https://www.agendalx.pt/events/event/antonio-julio-duarte-2/
artes,Santo António em Portugal,Uma perspetiva contemporânea,29 julho,29 dezembro 2023,Igreja de Nossa Senhora da Conceição Velha,https://www.agendalx.pt/events/event/santo-antonio-em-portugal-2/
artes,Beyond Borders4  ,The rock and the bead show,25 setembro,25 outubro 2023,Galeria Reverso,https://www.agendalx.pt/events/event/beyond-borders4/
artes,João Vaz,A beleza da água,22 julho,31 dezembro 2023,Museu de Marinha,https://www.agendalx.pt/events/event/joao-vaz/
artes,… E os seus Contemporâneos,Centenário de Mário Cesariny,9 agosto,25 novembro 2023,Perve Galeria,https://www.agendalx.pt/events/event/e-os-seus-contemporaneos/
artes,Juan Tessi,Dios me odia,15 setembro,11 novembro 2023,3+1 Arte Contemporânea,https://www.agendalx.pt/events/event/juan-messi/
artes,O CCB por Daciano da Costa,Design de equipamento e mobiliário. 1993-2023,20 julho,29 outubro 2023,Centro Cultural de Belém,https://www.agendalx.pt/events/event/o-ccb-por-daciano-da-costa/
artes,Natália Gromicho,Perfect month,14 outubro,3 novembro 2023,Atelier Natália Gromicho,https://www.agendalx.pt/events/event/natalia-gromicho-59/
artes,A Forma em Formação,,28,28 de September de 2023,Brotéria,https://www.agendalx.pt/events/event/a-forma-em-formacao/
artes,Pedro César Teles,Momentum,22 setembro,5 novembro 2023,Casino de Lisboa,https://www.agendalx.pt/events/event/pedro-cesar-teles-7/
artes,José Augusto Coelho,Convergências… realidades ocultas mas sentidas,23 setembro,24 novembro 2023,Casual Lounge Caffé,https://www.agendalx.pt/events/event/jose-augusto-coelho/
artes,Coleção Paulo de Pitta e Cunha,,28 setembro 2023,20 janeiro 2024,Museu Arpad Szenes-Vieira da Silva,https://www.agendalx.pt/events/event/colecao-paulo-de-pitta-e-cunha/
artes,Bela Silva,Da vista um rio,28 setembro 2023,21 janeiro 2024,Casa-Atelier Vieira da Silva,https://www.agendalx.pt/events/event/bela-silva-2/
artes,Pé de Direitos,Declaração Universal Direitos da Criança,13 outubro,30 novembro 2023,LU.CA - Teatro Luís de Camões,https://www.agendalx.pt/events/event/pe-de-direitos/
artes,Konstantin Bessmertny,Grande e pequeno,20,20 de September de 2023,Galeria Monumental,https://www.agendalx.pt/events/event/konstantin-bessmertny-2/
artes,João Motta Guedes,How to live?,28 setembro,10 novembro 2023,Nave,https://www.agendalx.pt/events/event/joao-motta-guedes/
artes,Catarina Araújo Ribeiro,Punctum - ser criança atrás das grades,28 setembro,28 outubro 2023,Fábrica Braço de Prata,https://www.agendalx.pt/events/event/catarina-araujo-ribeiro/
artes,Clara Leitão,A porta aberta guarda tudo,30 setembro,11 novembro 2023,Galeria Arte Periférica,https://www.agendalx.pt/events/event/clara-leitao/
artes,António Duarte Mil-Homens,,13 outubro,17 novembro 2023,Ato Abstrato -  Galeria de Arte,https://www.agendalx.pt/events/event/antonio-duarte-mil-homens/
artes,Jodice - Canova,Exposição fotográfica de Mimmo Jodice,7 setembro,29 outubro 2023,Museu Nacional de Arte Antiga,https://www.agendalx.pt/events/event/jodice-canova/
artes,Gary William Myatt,Bone eaters -  bastards and busking monkeys,6 outubro,4 novembro 2023,Espaço Exibicionista,https://www.agendalx.pt/events/event/gary-william-myatt/
artes,Andreia César,Luz opaca,9 setembro,26 outubro 2023,Sociedade de Instrução Guilherme Cossoul,https://www.agendalx.pt/events/event/andreia-cesar/
artes,Heron P. Nogueira,Polimorfo,9 setembro,4 novembro 2023,Galeria 111,https://www.agendalx.pt/events/event/heron-p-nogueira/
artes,Daniel Gustav Cramer,Objects,21 setembro,4 novembro 2023,Galeria Vera Cortês,https://www.agendalx.pt/events/event/daniel-gustav-cramer/
artes,Guilherme Parente,Depois da tempestade,14 outubro,15 novembro 2023,CNAP - Clube Nacional de Artes Plásticas,https://www.agendalx.pt/events/event/guilherme-parente/
artes,X’23,Finalistas de Fotografia do IADE,10 outubro,7 novembro 2023,Galeria A Homem Mau,https://www.agendalx.pt/events/event/x-23/
artes,Kwame Sousa,Reflexes,21 setembro,17 novembro 2023,Movart,https://www.agendalx.pt/events/event/kwame-sousa/
artes,Andreas Stöcklein,O outro lugar – conversas interiores,24,27 de October de 2023,Galeria Ratton,https://www.agendalx.pt/events/event/andreas-stocklein/
artes,Têxteis Extraordinários: México,,5 setembro,27 outubro 2023,Casa da América Latina,https://www.agendalx.pt/events/event/texteis-extraordinarios-mexico/
artes,Desenhar Natália,Homenagem por 12 ilustradores,13 setembro,30 novembro 2023,Igreja e Convento da Graça,https://www.agendalx.pt/events/event/desenhar-natalia/
artes,Di Vetro: A Essência do Vidro,,14 setembro,17 novembro 2023,Prime Matter,https://www.agendalx.pt/events/event/di-vetro-a-essencia-do-vidro/
artes,Bela Silva,Do rio um mar,21 setembro,4 novembro 2023,Rui Freire-Fine Art,https://www.agendalx.pt/events/event/bela-silva-3/
artes,Alberto Carneiro,Ideias -  projetos e envolvimentos,14 outubro 2023,28 janeiro 2024,Culturgest,https://www.agendalx.pt/events/event/alberto-carneiro-3/
artes,Barahona Possollo,Do Terreno e do Divino,24 outubro 2023,10 março 2024,Museu de Lisboa - Teatro Romano,https://www.agendalx.pt/events/event/do-terreno-e-do-divino/
artes,A Casa Era a Rua,35 anos da Galeria Carlos Carvalho Arte Contemporânea,23 setembro,30 dezembro 2023,Carlos Carvalho Arte Contemporânea,https://www.agendalx.pt/events/event/a-casa-era-a-rua/
artes -  feiras,Drawing Room Lisboa,2023,25,25 de October de 2023,Sociedade Nacional de Belas-Artes,https://www.agendalx.pt/events/event/drawing-room-lisboa-3/
artes,Manuela Madureira,Cerâmica de 1975 a 1973: variações em azul,14,14 de October de 2023,Objectismo - Cerâmica Modernista Portuguesa,https://www.agendalx.pt/events/event/ceramica-de-manuela-madureira-1930-2022/
cinema,O Documentário em Marcha,Conturbados Anos 30 na...,19,19 de October de 2023,Cinemateca Portuguesa - Museu do Cinema,https://www.agendalx.pt/events/event/o-documentario-em-marcha/
artes,Flávia Montenegro,Colapso,30 setembro,30 outubro 2023,Debru,https://www.agendalx.pt/events/event/flavia-montenegro/
cinema,Rever Buñuel (nos 40 anos da sua morte),,28 setembro,25 outubro 2023,Cinema Nimas,https://www.agendalx.pt/events/event/rever-bunuel-nos-40-anos-da-sua-morte/
artes,Tony Cragg,Antecipação a "Rare Earth",02,03 de October de 2023,vários locais,https://www.agendalx.pt/events/event/tony-cragg/
artes,Two in One,,29 setembro,31 outubro 2023,Galeria de Artistas de Angola,https://www.agendalx.pt/events/event/two-in-one/
artes,Creātiōnēs,,12 outubro,4 novembro 2023,Galeria de Santa Maria Maior,https://www.agendalx.pt/events/event/creationes/
artes,Livros para o Ensino Artístico,,2 outubro,29 dezembro 2023,Academia Nacional de Belas Artes,https://www.agendalx.pt/events/event/livros-para-o-ensino-artistico/
